customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
448,3.3741,56.5,356.29,145.0,4.0215,1.1764705882352942,3080.9523809523807,280.4672897196262,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
687,3.5261,21.25,255.57,289.0,2.8179,6682.227488151659,27718.196428571428,7521.2056737588655,19.6,81.0,63.16,1.0,1.43,1,0,0,0,0
89,,,,,,0.0,192.63636363636363,0.0,15.2,82.3,38.58,0.5,2.13,0,0,0,0,0
784,3.9624,64.17,229.0,260.0,3.7225,1090.374331550802,9155.0,1016.6374269005848,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
1069,2.7022,10.34,239.0,275.0,1.4241,286.6666666666667,3278.0625,798.7592592592592,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1140,3.6898,39.24,141.5,130.0,4.352,4841.872222222222,58711.01369863014,6237.743016759777,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
130,3.3095,27.88,329.5,313.0,3.9476,1354.2372881355932,783.1428571428571,31.477011494252874,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
984,4.4276,38.87,195.67,166.0,4.0367,565.70796460177,19381.72413793104,398.0178571428572,19.2,77.0,21.21,0.0,1.0,0,0,0,0,0
1211,,,,,,0.0,270.0,0.0,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
353,3.695,52.63,96.25,84.0,3.4435,139.75903614457832,11355.741935483871,7.284313725490196,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0
583,3.7889,19.64,57.4,50.0,3.3872,864.9122807017544,4843.681818181818,341.037037037037,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
425,2.461,54.07,137.0,72.0,1.9734,1504.9295774647887,9621.818181818182,1446.3744075829384,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
