customer_id,dar_night_tower,tower_id,subward_name,subward_id,ward_name,ward_id,rank,prop_known,kmeans,binary_dv
945,500,500,Sinza 'A',105,Sinza,23,34,0.904255319,5,0
372,137,137,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
1144,464,464,Upendo,139,Saranga,29,388,0.430851064,1,1
480,321,321,Michungwani,143,Saranga,29,358,0.430851064,1,1
1032,7,7,Upendo,139,Saranga,29,388,0.430851064,1,1
348,414,414,Liwiti,245,Segerea,9,179,0.882978723,3,0
182,415,415,Makuti 'B',4,Magomeni,44,96,0.888297872,4,0
1062,141,141,Mwinjuma,22,Mwananyamala,54,289,0.85106383,2,1
987,372,372,Bunju 'B',163,Mabwepande,16,218,0.574468085,3,0
1038,307,307,Mabibo,45,Mabibo,35,122,0.89893617,4,0
931,458,458,Mlalakuwa,162,Makongo,7,168,0.829787234,4,0
806,154,154,Bonde la Mpunga,32,Msasani,72,56,0.765957447,5,0
550,148,148,Bombani,178,Pugu,8,353,0.670212766,1,1
126,260,260,Baruti,116,Kimara,20,138,0.914893617,4,0
236,2,2,Bombani,178,Pugu,8,353,0.670212766,1,1
1002,144,144,Kinyerezi,198,Kinyerezi,43,134,0.867021277,4,0
860,463,463,Kinyerezi,198,Kinyerezi,43,134,0.867021277,4,0
1075,532,532,Baruti,116,Kimara,20,138,0.914893617,4,0
166,410,410,Mbuyuni,99,Makumbusho,37,133,0.893617021,4,0
1172,129,129,Kichangani,179,Pugu,8,325,0.670212766,1,1
26,213,213,Kichangani,263,Majohe,83,362,0.505319149,1,1
416,321,321,Michungwani,143,Saranga,29,358,0.430851064,1,1
1105,484,484,Charambe,235,Upanga Magharibi,51,14,0.718085106,5,0
176,63,63,Madizini,51,Manzese,42,270,0.984042553,3,1
496,20,20,Mvuleni,55,Manzese,42,308,0.984042553,1,1
788,282,282,Makuburi,94,Makuburi,63,108,0.611702128,4,0
207,290,290,Kisiwani,103,Makumbusho,37,103,0.893617021,4,0
256,13,13,Mwinyimkuu,40,Mzimuni,30,82,0.484042553,5,0
93,424,424,Kibangu,93,Makuburi,63,180,0.611702128,3,0
1016,203,203,Kisukuru,269,Kimanga,41,188,0.760638298,3,0
704,175,175,Makumbusho,100,Makumbusho,37,45,0.893617021,5,0
899,31,31,Kipunguni,213,Kipawa,46,136,0.664893617,4,0
398,467,467,Mzinga,248,Kitunda,22,198,0.707446809,3,0
233,318,318,Kipunguni,213,Kipawa,46,136,0.664893617,4,0
58,175,175,Makumbusho,100,Makumbusho,37,45,0.893617021,5,0
431,33,33,Makuti 'A',3,Magomeni,44,104,0.888297872,4,0
989,445,445,Salasala,170,Wazo,4,72,0.64893617,5,0
1182,191,191,Mbezi Luisi,133,Mbezi,49,156,0.765957447,4,0
268,84,84,Mpakani,15,Ndugumbi,62,410,0.372340426,1,1
218,464,464,Upendo,139,Saranga,29,388,0.430851064,1,1
397,6,6,Kibangu,93,Makuburi,63,180,0.611702128,3,0
1120,551,551,Makongo,161,Makongo,7,80,0.829787234,5,0
177,410,410,Mbuyuni,99,Makumbusho,37,133,0.893617021,4,0
553,182,182,Mgeule,268,Majohe,83,398,0.505319149,1,1
336,155,155,Kwa Tumbo,17,Tandale,78,371,0.813829787,1,1
223,170,170,Michungwani,143,Saranga,29,358,0.430851064,1,1
838,549,549,Nyeburu,267,Majohe,83,397,0.505319149,1,1
474,486,486,Mnyamani,217,Buguruni,80,158,0.888297872,4,0
1207,344,344,Mnazi Mmoja,53,Manzese,42,163,0.984042553,4,0
527,184,184,Mbezi Beach 'A',75,Kawe,70,19,0.781914894,5,0
1073,486,486,Mnyamani,217,Buguruni,80,158,0.888297872,4,0
454,129,129,Kichangani,179,Pugu,8,325,0.670212766,1,1
418,262,262,Kwa Pakacha,19,Tandale,78,382,0.813829787,1,1
259,508,508,Golani,121,Kimara,20,173,0.914893617,3,0
677,287,287,Mwongozo,95,Makuburi,63,277,0.611702128,2,1
1100,434,434,TPDC,123,Mikocheni,48,5,0.813829787,5,0
99,400,400,Barafu,97,Mburahati,52,203,0.760638298,3,0
197,137,137,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
244,445,445,Salasala,170,Wazo,4,72,0.64893617,5,0
660,296,296,Stopover,140,Saranga,29,267,0.430851064,3,1
292,435,435,Wazo,169,Wazo,4,113,0.64893617,4,0
736,519,519,Tembomgwaza,270,Kimanga,41,294,0.760638298,2,1
380,111,111,Mogo,211,Kipawa,46,211,0.664893617,3,0
1131,391,391,Kiwalani,238,Kiwalani,31,197,0.64893617,3,0
928,58,58,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
18,366,366,Sinza 'D',108,Sinza,23,88,0.904255319,5,0
1200,262,262,Kwa Pakacha,19,Tandale,78,382,0.813829787,1,1
868,221,221,Yombo,240,Kiwalani,31,302,0.64893617,1,1
242,198,198,Kimara B,141,Saranga,29,305,0.430851064,1,1
84,297,297,Kilimani,54,Manzese,42,233,0.984042553,3,1
479,200,200,Kichangani,263,Majohe,83,362,0.505319149,1,1
642,296,296,Stopover,140,Saranga,29,267,0.430851064,3,1
863,362,362,Mpakani,145,Kwembe,85,449,0.367021277,1,1
1181,96,96,Minazini,101,Makumbusho,37,111,0.893617021,4,0
870,464,464,Upendo,139,Saranga,29,388,0.430851064,1,1
1169,226,226,Mabibo Farasi,50,Mabibo,35,153,0.89893617,4,0
108,56,56,Makabe,132,Mbezi,49,177,0.765957447,3,0
1157,273,273,TPDC,123,Mikocheni,48,5,0.813829787,5,0
813,466,466,Bangulo,181,Pugu,8,349,0.670212766,1,1
356,277,277,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
926,266,266,Luguruni,149,Kwembe,85,409,0.367021277,1,1
169,234,234,Kwajongo,10,Makurumla,90,250,0.430851064,3,1
526,376,376,Ulongoni,259,Gongolamboto,12,231,0.845744681,3,1
88,277,277,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
925,331,331,Karakata,212,Kipawa,46,261,0.664893617,3,1
763,483,483,Mchafukoge,230,Mchafukoge,69,151,0.441489362,4,0
1061,4,4,Charambe,235,Upanga Magharibi,51,14,0.718085106,5,0
1076,376,376,Ulongoni,259,Gongolamboto,12,231,0.845744681,3,1
831,308,308,Mbuyuni,44,Kigogo,6,269,0.824468085,3,1
505,127,127,Mpakani 'B',115,Kijitonyama,55,81,0.89893617,5,0
96,356,356,Chuo Kikuu,61,Ubungo,71,18,0.904255319,5,0
199,115,115,Kimamba,8,Makurumla,90,155,0.430851064,4,0
1121,366,366,Sinza 'D',108,Sinza,23,88,0.904255319,5,0
1099,303,303,Basihaya,86,Bunju,86,115,0.739361702,4,0
67,4,4,Charambe,235,Upanga Magharibi,51,14,0.718085106,5,0
1079,324,324,Makoka,91,Makuburi,63,184,0.611702128,3,0
724,142,142,Msimbazi,193,Tabata,87,142,0.888297872,4,0
1041,92,92,Makongo,161,Makongo,7,80,0.829787234,5,0
361,230,230,Madenge,216,Buguruni,80,212,0.888297872,3,0
440,415,415,Makuti 'B',4,Magomeni,44,96,0.888297872,4,0
504,508,508,Golani,121,Kimara,20,173,0.914893617,3,0
450,531,531,Segerea,246,Segerea,9,127,0.882978723,4,0
403,555,555,Mivumoni,167,Wazo,4,175,0.64893617,3,0
1192,410,410,Mbuyuni,99,Makumbusho,37,133,0.893617021,4,0
421,84,84,Mpakani,15,Ndugumbi,62,410,0.372340426,1,1
374,131,131,Mwembe Madafu,173,Ukonga,67,154,0.808510638,4,0
619,414,414,Liwiti,245,Segerea,9,179,0.882978723,3,0
857,148,148,Bombani,178,Pugu,8,353,0.670212766,1,1
518,17,17,Ulongoni,259,Gongolamboto,12,231,0.845744681,3,1
97,350,350,Muhalitani,20,Tandale,78,378,0.813829787,1,1
843,196,196,Darajani,126,Mikocheni,48,31,0.813829787,5,0
720,163,163,Kilungule 'A',118,Kimara,20,215,0.914893617,3,0
1161,371,371,Malamba Mawili,153,Msigani,60,206,0.484042553,3,0
1154,148,148,Bombani,178,Pugu,8,353,0.670212766,1,1
971,469,469,Basihaya,86,Bunju,86,115,0.739361702,4,0
395,364,364,King'ongo,142,Saranga,29,356,0.430851064,1,1
729,77,77,Kondo,80,Kunduchi,25,52,0.760638298,5,0
1187,440,440,Malapa,215,Buguruni,80,161,0.888297872,4,0
